Field,Value,Type of Entry,Notes,,
  Gerry,Roop
Profile Type,Emitter,Either Activity or EmitterIdentifies what is in this sheet or file
Name,G_C_Connector_Threaded,"Free form, but referenced in the Model Formulation"
Sector,Gathering,Free Form,Industry segment (free form field),,
Major Equipment,Compressor,Pick List,"Major equipment type, used for QC checks",,
Emitter,Connector_Threaded,Free Form,Name of the emitter,,
Active Mode,OP,"Pick List, dependent on major euqipment type","Mode when this is active, may be list of multiple mode IDs.",,
Distribution Type,Histogram,Pick List,Histogram or Analytic,,
Value Column Name,Emission Rate,,
Gas Type,WholeGas,Pick List,What is being emitted,,
Screened Components,30956.3638,FP Number
Emitting Components,778.46,FP Number,Emitting components must be <= screened components,,
Data Origin,"GEF Study, AvgFactor.xlsx, Sheet 'C Connector Flanged'",Free form,Anything you want,,
Notes,,
%%%ENDOFMETADATA%%%,,
Sample ID,Value,Frequency
979,49.375,28
980,49.425,11
981,49.475,18
982,49.525,14
983,49.575,13
984,49.625,27
985,49.675,15
986,49.725,17
987,49.775,12
988,49.825,17
989,49.875,10
990,49.925,6
991,49.975,13
992,50.025,12
993,50.075,6
994,50.125,15
995,50.175,12
996,50.225,11
997,50.275,7
998,50.325,12
999,50.375,12
1000,50.425,16
1001,50.475,5
1002,50.525,9
1003,50.575,5
1004,50.625,7
1005,50.675,4
1006,50.725,8
1007,50.775,1
1008,50.875,4
1009,50.925,1
1010,51.025,3
1011,51.075,6
1012,51.175,3
1013,51.225,1
1014,51.325,1
1015,51.375,1
1016,51.425,1
1017,51.475,2
1018,51.725,5
1019,51.775,1
1020,51.825,2
1021,51.925,1
1022,52.025,2
1023,52.525,1
1024,52.675,2
1025,53.875,1
1026,53.975,1
1027,90.825,1
1028,91.725,1
1029,92.175,1
1030,92.225,4
1031,92.325,4
1032,92.425,2
1033,92.575,1
1034,92.675,3
1035,92.775,3
1036,92.825,3
1037,92.875,5
1038,92.925,6
1039,92.975,2
1040,93.025,3
1041,93.075,1
1042,93.125,1
1043,93.175,3
1044,93.225,1
1045,93.275,3
1046,93.325,2
1047,93.425,5
1048,93.475,1
1049,93.525,1
1050,93.575,6
1051,93.625,9
1052,93.725,5
1053,93.775,10
1054,93.825,6
1055,93.875,8
1056,93.925,3
1057,94.025,13
1058,94.075,4
1059,94.125,13
1060,94.175,3
1061,94.225,7
1062,94.275,6
1063,94.325,13
1064,94.375,11
1065,94.425,2
1066,94.475,14
1067,94.525,9
1068,94.575,9
1069,94.625,5
1070,94.675,11
1071,94.725,9
1072,94.775,9
1073,94.825,8
1074,94.875,13
1075,94.925,7
1076,94.975,5
1077,95.025,8
1078,95.075,5
1079,95.125,16
1080,95.175,7
1081,95.225,7
1082,95.275,4
1083,95.325,4
1084,95.375,4
1085,95.425,21
1086,95.475,9
1087,95.525,11
1088,95.575,10
1089,95.625,9
1090,95.675,15
1091,95.725,12
1092,95.775,16
1093,95.825,13
1094,95.875,7
1095,95.925,11
1096,95.975,15
1097,96.025,22
1098,96.075,13
1099,96.125,7
1100,96.175,14
1101,96.225,7
1102,96.275,7
1103,96.325,21
1104,96.375,13
1105,96.425,20
1106,96.475,3
1107,96.525,21
1108,96.575,39
1109,96.625,15
1110,96.675,26
1111,96.725,13
1112,96.775,31
1113,96.825,16
1114,96.875,24
1115,96.925,5
1116,96.975,19
1117,97.025,24
1118,97.075,7
1119,97.125,15
1120,97.175,23
1121,97.225,27
1122,97.275,20
1123,97.325,18
1124,97.375,11
1125,97.425,25
1126,97.475,10
1127,97.525,20
1128,97.575,16
1129,97.625,17
1130,97.675,16
1131,97.725,15
1132,97.775,24
1133,97.825,10
1134,97.875,23
1135,97.925,4
1136,97.975,14
1137,98.025,29
1138,98.075,38
1139,98.125,22
1140,98.175,14
1141,98.225,15
1142,98.275,14
1143,98.325,8
1144,98.375,30
1145,98.425,19
1146,98.475,11
1147,98.525,6
1148,98.575,28
1149,98.625,13
1150,98.675,15
1151,98.725,3
1152,98.775,8
1153,98.825,17
1154,98.875,10
1155,98.925,6
1156,98.975,6
1157,99.025,5
1158,99.075,10
1159,99.125,13
1160,99.175,11
1161,99.225,13
1162,99.275,8
1163,99.325,13
1164,99.375,12
1165,99.425,4
1166,99.475,11
1167,99.525,18
1168,99.575,1
1169,99.625,6
1170,99.675,18
1171,99.725,9
1172,99.775,10
1173,99.825,19
1174,99.875,3
1175,99.925,8
1176,99.975,17
1177,100.025,19
1178,100.075,17
1179,100.125,8
1180,100.175,11
1181,100.225,7
1182,100.275,9
1183,100.325,11
1184,100.375,7
1185,100.425,1
1186,100.525,8
1187,100.575,4
1188,100.625,3
1189,100.675,5
1190,100.725,2
1191,100.775,11
1192,100.875,3
