MajorEquipment,emitterModelFactorTag,factorTag,Emitter,activityDistribution,emissionDriver,notes,correctFactors
Compressors,Comp_wet_seal_large_emitter,ts_compressor,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Rod Packing Vent Large Emitter.csv,gef study,no
Compressors,Comp_emp_wet_seal_vent,ts_compressor,EmpiricalFlowProduction,N/A,TS/EmissionsData/TS_EF_Centrifugal WetSealVent (OP).csv,ts study,yes
Compressors,Comp_single_unit_vent_large_emitter,ts_compressor,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Single-Unit Vent Large Emitter.csv,gef study,no
Compressors,Comp_single_unit_vent_leak,ts_compressor,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Common Single-Unit Vent.csv,gef study,no
Compressors,Comp_starter_vent_leak,ts_compressor,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Compressor Starter Vent.csv,gef study,no
,,,,,,,
YardPiping,YP_component_leak,ts_misc,LeakProduction,20,GEFCombined/EmissionsData/GEFC_EF_YardPiping Component.csv,gef study,no
YardPiping,YP_pneumatic,ts_misc,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_YardPiping Pneumatic Controller.csv,TS/EmissionsData/TS_EF_Pneumatic Any.csv,ts study,yes
YardPiping,Stn_common_vent_leak,ts_misc,SpecificLeaksProduction,2,GEFCombined/EmissionsData/GEFC_EF_Station Common Station Vent.csv,gef study,no
YardPiping,Stn_common_vent_large_emitter,ts_misc,SpecificLeaksProduction,2,TS/EmissionsData/TS_EF_Station Superemitter.csv,ts study,yes
YardPiping,Stn_components_large_emitter,ts_misc,SpecificLeaksProduction,2,GEFCombined/EmissionsData/GEFC_EF_Station Components Large Emitter.csv,gef study,no
,,,,,,,
TankBattery,Tank_thief_hatch_leak,ts_tanks,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Tank Thief Hatch.csv,gef study,no
TankBattery,Tank_component_leak,ts_tanks,LeakProduction,20,GEFCombined/EmissionsData/GEFC_EF_Compressor Component.csv,gef study,no
TankBattery,Tank_thief_hatch_large,ts_tanks,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Tank Thief Hatch Large Emitter.csv,gef study,no
TankBattery,Tank_battery_vent_leak,ts_tanks,SpecificLeaksProduction,1,TS/EmissionsData/TS_EF_Tank TankVent.csv,ts study,yes
TankBattery,Tank_battery_vent_large,ts_tanks,SpecificLeaksProduction,1,GEFCombined/EmissionsData/GEFC_EF_Tank Multi-Unit Vent Large Emitter.csv,gef study,no
TankBattery,Tank_pneumatic,ts_tanks,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Tank Pneumatic Controller.csv,TS/EmissionsData/TS_EF_Pneumatic Any.csv,ts study,yes
,,,,,,,
Flares,Flare_component_leak,ts_flare,LeakProduction,20,GEFCombined/EmissionsData/GEFC_EF_Separator Component.csv,gef study,no
